"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"18045","722_2_T","722",2,"T",1,1,1,1,1,1,1
"18046","722_2_V","722",2,"V",1,1,1,1.60867372613661,2.21734745227321,1,1.3043368630683
"18047","722_2_W","722",2,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"18048","722_2_X","722",2,"X",1.59102399515405,2.18204799030809,1,1.54020765903036,1.70626104962363,1.37415426843709,1.5656158270922
"18049","722_2_Y","722",2,"Y",1.65445346998065,2.3089069399613,1,1,1,1,1.32722673499033
"18050","722_2_Z","722",2,"Z",1.48981316502626,1.97962633005252,1,2.62395957646948,3.41421356237309,1.83370559056587,2.05688637074787
"18051","723_2_C","723",2,"C",1.15576170702371,1.31152341404742,1,1,1,1,1.07788085351185
"18052","723_2_A","723",2,"A",1,1,1,1,1,1,1
"18053","723_2_B","723",2,"B",1.17806570669314,1.35613141338627,1,1.32469244423306,1.64938488846612,1,1.2513790754631
"18054","723_2_D","723",2,"D",1.49704287638765,1.9940857527753,1,1,1,1,1.24852143819383
"18055","723_2_E","723",2,"E",1,1,1,NA,NA,NA,1
"18056","723_2_F","723",2,"F",1,1,1,NA,NA,NA,1
"18057","723_2_G","723",2,"G",1.26304513655707,1.52609027311415,1,1,1,1,1.13152256827854
"18058","723_2_H","723",2,"H",1.72727779794557,2.45455559589115,1,1.5,1,2,1.61363889897279
"18059","723_2_I","723",2,"I",1.84514855097062,2.69029710194123,1,1.66666666666667,1.66666666666667,1.66666666666667,1.75590760881864
"18060","723_2_J","723",2,"J",1.44494078742115,1.88988157484231,1,1.33333333333333,1.66666666666667,1,1.38913706037724
"18061","723_2_K","723",2,"K",1.49396314231408,1.98792628462815,1,2.66887271983945,4.14705653078413,1.19068890889478,2.08141793107677
"18062","723_2_L","723",2,"L",1.79320464492947,2.58640928985893,1,1.44494078742115,1.88988157484231,1,1.61907271617531
"18063","723_2_M","723",2,"M",1,1,1,1,1,1,1
"18064","723_2_N","723",2,"N",1.50981964965802,2.01963929931604,1,1.33333333333333,1.66666666666667,1,1.42157649149568
"18065","723_2_O","723",2,"O",1.91421356237309,2.82842712474619,1,1,1,1,1.45710678118655
"18066","723_2_P","723",2,"P",1,1,1,NA,NA,NA,1
"18067","723_2_Q","723",2,"Q",1.5,2,1,1.5,1,2,1.5
"18068","723_2_R","723",2,"R",1.32469244423306,1.64938488846612,1,NA,NA,NA,1.32469244423306
"18069","723_2_S","723",2,"S",1.40948425582659,1.81896851165317,1,1,1,1,1.20474212791329
"18070","723_2_T","723",2,"T",1,1,1,1,1,1,1
"18071","723_2_V","723",2,"V",1.16610284562472,1.33220569124945,1,2.07761232354064,3.15522464708129,1,1.62185758458268
"18072","723_2_W","723",2,"W",1.22164482786735,1.44328965573469,1,1.62252527046382,1.44494078742115,1.80010975350649,1.42208504916558
"18073","723_2_X","723",2,"X",1.64585218407866,2.29170436815733,1,2.02208667354137,2.51948090284968,1.52469244423306,1.83396942881002
"18074","723_2_Y","723",2,"Y",1.39152491579326,1.78304983158652,1,1,1,1,1.19576245789663
"18075","723_2_Z","723",2,"Z",1.49219762450906,1.98439524901812,1,1.93137084989848,2.46274169979695,1.4,1.71178423720377
"18076","724_2_C","724",2,"C",1.40948425582659,1.81896851165317,1,1.37738267530166,1.75476535060332,1,1.39343346556412
"18077","724_2_A","724",2,"A",1,1,1,1,1,1,1
"18078","724_2_B","724",2,"B",1.49704287638765,1.9940857527753,1,1.50190614024133,1.60381228048266,1.4,1.49947450831449
"18079","724_2_D","724",2,"D",1.46890962043919,1.93781924087838,1,1,1,1,1.2344548102196
"18080","724_2_E","724",2,"E",1,1,1,1,1,1,1
"18081","724_2_F","724",2,"F",1.33652906337926,1.67305812675851,1,1.5,2,1,1.41826453168963
"18082","724_2_G","724",2,"G",1.11965771536453,1.23931543072907,1,1,1,1,1.05982885768227
"18083","724_2_H","724",2,"H",2.17849378751746,3.35698757503492,1,NA,NA,NA,2.17849378751746
"18084","724_2_I","724",2,"I",1.72751257204743,2.45502514409486,1,1.47405884391169,1.50317690040222,1.44494078742115,1.60078570797956
"18085","724_2_J","724",2,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"18086","724_2_K","724",2,"K",1.79808400315469,2.59616800630938,1,2.21997301041823,3.02923144783232,1.41071457300414,2.00902850678646
"18087","724_2_L","724",2,"L",1,1,1,1.5,2,1,1.25
"18088","724_2_M","724",2,"M",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"18089","724_2_N","724",2,"N",1.32469244423306,1.64938488846612,1,1.33333333333333,1.66666666666667,1,1.3290128887832
"18090","724_2_O","724",2,"O",1.3406605379734,1.68132107594681,1,NA,NA,NA,1.3406605379734
"18091","724_2_P","724",2,"P",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"18092","724_2_Q","724",2,"Q",1.5,2,1,1.5,1,2,1.5
"18093","724_2_R","724",2,"R",1,1,1,NA,NA,NA,1
"18094","724_2_S","724",2,"S",1.65733780886476,2.31467561772952,1,1.82382385071746,2.18380135253054,1.46384634890437,1.74058082979111
"18095","724_2_T","724",2,"T",1,1,1,NA,NA,NA,1
"18096","724_2_V","724",2,"V",1.3406605379734,1.68132107594681,1,1.48006585210389,1.96013170420779,1,1.41036319503865
"18097","724_2_W","724",2,"W",1.30331539804318,1.60663079608635,1,1.65164332695435,1.50317690040222,1.80010975350649,1.47747936249877
"18098","724_2_X","724",2,"X",1.34403539920586,1.68807079841173,1,1.63042251030413,2.11798787775111,1.14285714285714,1.487228954755
"18099","724_2_Y","724",2,"Y",1.81234516952313,2.62469033904626,1,1,1,1,1.40617258476157
"18100","724_2_Z","724",2,"Z",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"18101","725_2_C","725",2,"C",1.66828677074282,2.33657354148564,1,1,1,1,1.33414338537141
"18102","725_2_A","725",2,"A",1,1,1,1,1,1,1
"18103","725_2_B","725",2,"B",1,1,1,1.37738267530166,1.75476535060332,1,1.18869133765083
"18104","725_2_D","725",2,"D",1.83634807721051,2.67269615442102,1,1,1,1,1.41817403860525
"18105","725_2_E","725",2,"E",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"18106","725_2_F","725",2,"F",1,1,1,NA,NA,NA,1
"18107","725_2_G","725",2,"G",1.20001646486725,1.40003292973449,1,1,1,1,1.10000823243362
