"","Genotype","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1","vLG_2011_glm.nb_density"
"11","K",5,1.14285714285714,0.285714285714286,0.571428571428571,1.51038927836195,2.30478560533951,0.3778,1.779525,0.545454545454546,326.6608,50.016,0.2854,1.7744,0.389,6.3442,2.5516,2.8454,25.4792,0.851,0.6458,53.2984,25.6868,27.5234,0.6914,0.6044,3.289,0.677,34.661,0.1358,4.7298,0.0464,0,2.027,0,0.56,0.9962,42.3236,0,0,3.03,0.8343053222,48.791540528,59.1622887824581,2.17267278728995,10.76379020275,48.791540528,0.8343053222,59.1622887824581,0.723161315244068,2.86371508903956,-0.801860809637431,-0.785016244608063,-0.291592620361779,3.99171274071577,7.04979637914742
"12","L",8.4,0,0,0,2.24812069559606,2.72204956478859,0.38394,1.8136,0.545454545454546,455.1028,50.0472,0.268,0.4872,0,5.9062,1.4394,0.2012,11.461,0.398,0.1566,3.0436,0.1082,3.765,0.9652,0.9668,1.6856,0,4.5626,0.16,2.1882,0.5426,0,1.7742,0,0.4616,0,0.663,0,0,0,0.8306997418,49.282575226,60.1190874362029,1.94957001474889,10.3342123945032,49.282575226,0.8306997418,60.1190874362029,3.10301715439789,-1.29558213392124,2.02390954515494,0.867402763772321,2.23998294895393,0.591440638402305,7.62192563911643
"13","M",2.4,1.4,1.2,1,1.71634356175312,2.76637346758564,0.445825,1.8135,0.181818181818182,102.3228,53.5458,0.4496,4.7598,0.0946,4.4238,2.5968,1.355,17.5052,0,0.7208,111.0406,29.5588,0.0252,2.4732,0.6188,4.2824,1.937,0.4864,0.6564,6.2976,0.1154,0,2.952,0,0.6906,2.2834,105.0596,4.1692,2.528,18.2672,1.1406139614,48.255345916,42.5136593252806,1.98631953925218,12.6578636114606,48.255345916,1.1406139614,42.5136593252806,-3.7246744936147,3.37453377252566,-0.128001001268979,-3.25011949459348,-0.297883923112781,-1.28255514192757,1.85586047703302
"14","N",6.4,0,0,0,2.00995056884012,2.83122512872854,0.35894,1.80834,2.04545454545454,182.57575,57.68175,0.37,3.94825,0.2285,3.64975,0.92575,0.1225,17.991,1.76525,0.2695,120.75575,0.07525,0.95,1.0455,1.13825,1.10925,0,7.02,0.231,2.281,0.47025,0,1.21825,0.72175,0.34775,0,65.616,0,3.66875,3.03925,1.0214545368,47.99968338,48.0055005411854,2.13312778828917,10.4971097089472,47.99968338,1.0214545368,48.0055005411854,-1.84973872842182,-1.30322494585599,0.323915999568969,2.19263446632067,1.8194775312953,0.856839550920977,6.02438041243534
"15","O",3,3.6,0,0,2.2015447388689,2.83214257044232,0.40978,1.81738,0,429.401,50.6685,0.2215,1.3095,0.0805,5.2965,2.25825,0.49725,26.2745,4.51475,0.6415,25.47025,1.7715,2.21825,1.02325,2.382,2.17775,0,4.2925,0.11525,4.2585,1.484,0,1.164,0,0.3855,0.15175,6.404,0,0,0.26925,0.8884563446,48.354571532,54.959938276439,1.92619968427283,9.78557734542266,48.354571532,0.8884563446,54.959938276439,2.11445974719358,-0.255159515675858,0.216027212697589,1.68084054868892,1.20834239661067,1.30434549023484,2.45311228266805
"16","P",6,2.2,1.8,0.6,1.91109403839234,2.66172777210748,0.39878,1.784,18.9393939393939,391.635833333333,52.1788333333333,0.194166666666667,1.399,0.0136666666666667,12.4565,2.80016666666667,0.139,15.8801666666667,0,0.305833333333333,25.6298333333333,0.176,0,0.743333333333333,0.828333333333333,4.20383333333333,0,0,0.266833333333333,7.23933333333333,0.3605,0,0.466,0,0.259,0,4.89416666666667,0,0,0.882666666666667,0.8662799836,47.621665192,55.8951439797141,2.13344532126813,11.0577544763475,47.621665192,0.8662799836,55.8951439797141,2.28706675628538,-0.88712656122977,2.16741242762983,0.687283177019501,-2.29712836928728,-1.60184226987832,5.99959710742581
"17","Q",0,3.14285714285714,0.428571428571429,0.571428571428571,1.44822123668245,2.65645248225324,0.3892,1.79078,9.6969696969697,339.021,56.3735,0.2595,1.75966666666667,0.0801666666666667,1.50966666666667,0.869333333333333,0.267666666666667,31.1698333333333,0.429833333333333,1.344,59.4503333333333,0.304833333333333,6.07316666666667,2.1015,0.3535,3.959,0,15.0825,0.3435,6.4515,0.156666666666667,0,0.835166666666667,0,0.303833333333333,0.0908333333333333,38.7688333333333,0,0,2.90716666666667,1.127515167,49.360918045,43.8733976892269,1.94972485193676,10.3643227573999,49.360918045,1.127515167,43.873397689227,0.689600337669922,-1.01627254625787,-1.72645794715897,-0.983908423319507,-1.70333426002562,1.62456553164491,1.99542935296516e-12
"18","R",5.125,1.375,1.875,0.625,1.31250718245332,2.54835818890453,0.3449,1.7746,3.50649350649351,251.380857142857,58.3691428571429,0.384142857142857,2.83214285714286,0.106714285714286,13.9358571428571,3.829,0.149428571428571,16.0208571428571,0.987,0.277571428571429,98.8028571428571,0.613285714285714,1.25642857142857,1.02485714285714,1.963,2.39314285714286,0,4.51185714285714,0.270428571428571,4.839,0.805142857142857,0,1.581,0.550571428571429,0.471285714285714,0,33.7534285714286,0,1.253,25.159,1.2088635922,48.111562348,40.2915967181854,1.81486158110995,9.79501924518364,48.111562348,1.2088635922,40.2915967181854,-1.50225366999466,-0.551845602455026,2.15534832910498,1.14330142540532,0.54938666857247,0.453962428698986,8.30638392799802
"19","S",5.5,1.375,0,0,1.89287072252456,2.4516336196516,0.43532,1.80062,11.969696969697,236.867333333333,63.1846666666667,0.401,4.78233333333333,0,4.813,1.28666666666667,0.134166666666667,19.8266666666667,0,0.332,197.439166666667,0.348333333333333,0,1.56616666666667,2.37033333333333,3.71,0,0,0.0635,4.92,0.169166666666667,0,1.44183333333333,0.1005,0.277333333333333,0.0378333333333333,63.6086666666667,0,3.62433333333333,31.1116666666667,0.8022036196,48.706655122,61.4420960176138,1.83342137766473,11.8990874157079,48.706655122,0.8022036196,61.4420960176138,-3.22689609606626,-1.26505534955926,0.949632381014062,0.640828115271999,-0.749865982163756,-1.60184226987832,5.73618604916312
"20","T",0.75,1,0,0.25,2.07898608769973,3.04590648975332,0.4507,1.8161,0,271.92875,62.91075,0.388,2.796,0.034,0.94475,0.2185,0.23,14.5255,7.165,0.23375,79.61425,1.853,2.87025,1.5935,2.318,3.1115,0,8.78825,0.4085,7.06525,0,0,0.883,0.12825,0.30175,0.1275,21.074,0,0,1.2565,1.2887554406,48.246979524,37.8304084125129,1.96134983684359,10.500802620824,48.246979524,1.2887554406,37.8304084125129,-0.127805173673997,-1.34334276056438,0.103785429961231,-0.0767008932396118,-1.93502628338932,2.27554116110781,0.708299227999697
"21","U",3.4,1.6,0,0,1.63880826089474,2.43007373937774,0.3637,1.7928,1.63636363636364,254.2496,70.9684,0.2502,2.899,0.1592,6.4726,4.303,0.1166,30.652,0,1.2768,135.233,0.5566,0.051,1.1108,1.6608,1.678,0,0.3782,0.4438,4.2892,0.6026,0,0.7778,0.163,0.2966,0,112.2616,0,1.4054,14.9798,1.0754945874,49.005563356,45.9622379121635,2.33081756576658,10.9813302903344,49.005563356,1.0754945874,45.9622379121635,-2.02143173583847,-0.349062204574706,-0.302940691560915,1.61373149970877,0.506803242784061,-1.35715768378592,1.67865970122819
"22","V",4.16666666666667,1.66666666666667,1.33333333333333,0.333333333333333,1.56782355058226,2.40736705696166,0.4701,1.79942,2.72727272727273,457.6996,58.848,0.1694,0.7054,0.036,8.6206,1.5314,0.213,19.9374,0,0.225,21.5334,0.4296,0,1.2038,3.459,1.1338,0,0.1056,0.2018,3.8688,0.7432,0,1.4766,0,0.6476,0,1.6906,0,0,0.1774,1.00643783816667,48.9050852416667,49.0621774512823,2.03117076181656,10.573119229277,48.9050852416667,1.00643783816667,49.0621774512822,2.67124579549727,-1.0469969470815,1.46497506345586,1.11326329611604,2.24176047325622,-1.5183328101901,5.35463687061277
"23","W",8.2,2.2,0,0,1.95504941696081,2.63947981054828,0.40516,1.81048,1.09090909090909,271.4408,55.6152,0.4542,4.2286,0.1042,8.2616,1.792,3.479,20.62,0,0.5466,94.5806,38.6292,0,1.5456,0.991,2.9178,2.6072,0,0.5442,5.9812,0.792,0,0.8674,2.0556,0.1872,1.4326,39.401,0.6106,1.032,3.5048,0.9449272872,49.489682768,52.768762561283,2.03482601722733,10.2366601608742,49.489682768,0.9449272872,52.768762561283,-0.989843222351881,3.82684015275909,0.11218237244617,1.53759394876364,-1.20633832031467,-1.60184226987832,8.27946752511706
"24","X",1.14285714285714,0.428571428571429,0,0,1.55356209577563,2.43332301211405,0.339033333333333,1.76236666666667,18.6363636363636,395.292166666667,47.4751666666667,0.192,0.467333333333333,0,7.7865,2.20416666666667,0.336833333333333,27.9533333333333,0,0.6265,9.21766666666667,0.712,0,1.3865,2.3575,2.644,0,0,0.203666666666667,4.335,0.488333333333333,0.173333333333333,1.07433333333333,0.251,0.308833333333333,0,0.478,0,0,0,0.9589180112,48.502789306,50.7801486486288,1.92749773877769,9.00726230379856,48.502789306,0.9589180112,50.7801486486287,3.07128823391512,-0.70959322413972,0.687034940060948,1.97931129661811,-0.429016852737122,-1.60184226987832,1.33520760064075
"25","Y",5.6,0,0,0,2.05105127163259,2.3741097948371,0.5216,1.81682,25.9090909090909,216.041333333333,63.4258333333333,0.281833333333333,3.28616666666667,0.357,7.3945,4.939,1.51966666666667,20.3388333333333,0,0.9025,146.415666666667,67.7553333333333,0.5345,0.923666666666667,1.16483333333333,2.02416666666667,3.5535,2.01666666666667,0.228,5.63366666666667,0.513666666666667,0.492833333333333,0.833833333333333,0.939833333333333,0.328166666666667,3.4985,41.594,2.09783333333333,3.13516666666667,9.69483333333333,1.0590504764,49.428104402,46.8915922931631,2.16802832728191,10.5548723058637,49.428104402,1.0590504764,46.8915922931631,-2.31145296965714,5.17282761923453,-0.692342994975475,2.89824677210337,-1.23914056443715,-0.666035034872338,5.5296634497828
"26","Z",8,0,0,0,2.71665155780698,2.58194310878401,0.403742857142857,1.83414285714286,3.93939393939394,363.326,55.9661666666667,0.312666666666667,3.84783333333333,0.252,0.237833333333333,0.1835,1.1105,10.4123333333333,0,0.427833333333333,121.945,0.498,0.457333333333333,1.43066666666667,0.468,2.44833333333333,0.0171666666666667,1.95916666666667,0.607333333333333,6.96816666666667,0.0173333333333333,0,1.83316666666667,0,0.725666666666667,0.176333333333333,47.3546666666667,0,1.06366666666667,9.18216666666667,0.7646745206,48.995640564,64.1227205054078,1.93414216428389,10.0933375057636,48.995640564,0.7646745206,64.1227205054078,-0.894412567109664,-0.875496865808977,-0.85848159391796,-2.11340964308366,-0.449257577119917,-0.708960763089739,6.69550543386951
