"","unique.sim","sim.number","genotype.richness","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total.gall.abund","total.gall_ptoid.abund","total_complexity","total_complexity.check","plants_sampled"
"33","2_8_1",2,8,1,1.67774908711547,1,2.35549817423094,1.99349411691912,1.86180231091751,2.12518592292073,6.5,2.16666666666667,1.8356216020173,1.8356216020173,8
"34","2_9_1",2,9,1,1.34284235765757,1,1.68568471531515,1.9094789264524,2.13314949275638,1.68580836014842,4.5,1.16666666666667,1.62616064205499,1.62616064205499,9
"35","2_10_1",2,10,1,1.80002081707408,1,2.60004163414817,1.91330015540372,1.55246082336754,2.2741394874399,6.1,1.9,1.8566604862389,1.8566604862389,10
"36","2_11_1",2,11,1,1.74461962744317,1,2.48923925488633,1.87498829844486,1.30769230769231,2.4422842891974,7.7,1.3,1.80980396294401,1.80980396294401,11
"37","2_12_1",2,12,1,1.64585218407866,1,2.29170436815733,1.91084617143025,1.28239167770817,2.53930066515232,8,1.88888888888889,1.77834917775446,1.77834917775446,12
"38","2_13_1",2,13,1,1.73614116001491,1,2.47228232002981,2.00170916105356,1.21564724302952,2.7877710790776,5.4,1.4,1.86892516053423,1.86892516053423,13
"39","2_14_1",2,14,1,1.77455814388992,1,2.54911628777983,1.9094789264524,2.13314949275638,1.68580836014842,3.44444444444444,0.777777777777778,1.84201853517116,1.84201853517116,14
"40","2_15_1",2,15,1,1.58669165193729,1,2.17338330387458,1.95231340395027,1.78428380370778,2.12034300419276,6.07142857142857,1.42857142857143,1.76950252794378,1.76950252794378,15
"41","2_16_1",2,16,1,1.63318496211538,1,2.26636992423076,1.73494032989488,1.26696447245269,2.20291618733708,5.61538461538461,0.769230769230769,1.68406264600513,1.68406264600513,16
"42","2_17_1",2,17,1,1.62412286031485,1,2.2482457206297,1.98235237682549,1.53589670907336,2.42880804457762,4.33333333333333,1.16666666666667,1.80323761857017,1.80323761857017,17
"43","2_18_1",2,18,1,1.67358410967925,1,2.3471682193585,1.29940616442725,1.14376482868635,1.45504750016815,4.76923076923077,1.61538461538462,1.48649513705325,1.48649513705325,18
"44","2_19_1",2,19,1,1.69207104614991,1,2.38414209229983,1.95452771141918,1.36363636363636,2.545419059202,6.14285714285714,1.57142857142857,1.82329937878455,1.82329937878455,19
"45","2_20_1",2,20,1,1.41466972806962,1,1.82933945613924,1.9655258288409,1,2.9310516576818,5.46666666666667,1.93333333333333,1.69009777845526,1.69009777845526,20
"46","2_21_1",2,21,1,1.70250047898624,1,2.40500095797248,1.62824568371731,1.34527539448807,1.91121597294654,6.26666666666667,1.6,1.66537308135177,1.66537308135177,21
