"","unique.sim","sim.number","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total_complexity","total_complexity.check"
"24","1_24",1,24,1.64690497162264,1,2.29380994324528,2.03105104303347,1.35324124869837,2.70886083736857,1.83897800732805,1.83897800732805
"25","1_25",1,25,1.2845962916071,1,1.5691925832142,2.43570296046703,1.496014583963,3.37539133697106,1.86014962603707,1.86014962603707
"26","1_26",1,26,1.6839085660405,1,2.367817132081,2.22695723459667,1.39871301357663,3.0552014556167,1.95543290031858,1.95543290031858
"27","1_27",1,27,1.2157773279172,1,1.43155465583441,2.43269472948231,1.70246289572256,3.16292656324207,1.82423602869976,1.82423602869976
"28","1_28",1,28,1.72564386492666,1,2.45128772985333,2.33620193075843,1.57415794893562,3.09824591258123,2.03092289784255,2.03092289784255
"29","1_29",1,29,1.98244243250388,1,2.96488486500775,2.35282785584029,1.65870579747812,3.04694991420247,2.16763514417208,2.16763514417208
"30","1_30",1,30,1.91299050132358,1,2.82598100264716,2.22744210930147,1.67672083386165,2.77816338474129,2.07021630531253,2.07021630531253
"31","1_31",1,31,1.92815544714328,1,2.85631089428655,1.97734727916258,1.42547970421644,2.52921485410871,1.95275136315293,1.95275136315293
"32","1_32",1,32,1.86548864007193,1,2.73097728014385,2.30424459674092,1.46938862311818,3.13910057036365,2.08486661840642,2.08486661840642
"33","1_33",1,33,1.90446175696176,1,2.80892351392352,2.31792455997538,1.65840001343849,2.97744910651226,2.11119315846857,2.11119315846857
"34","1_34",1,34,1.79281434116923,1,2.58562868233846,2.46487221889317,1.59345569778601,3.33628874000034,2.1288432800312,2.1288432800312
"35","1_35",1,35,1.77756565952725,1,2.55513131905449,2.30552151199081,1.49704028667539,3.11400273730624,2.04154358575903,2.04154358575903
"36","1_36",1,36,1.72856474921081,1,2.45712949842162,2.66506360107757,1.72665930786107,3.60346789429408,2.19681417514419,2.19681417514419
"37","1_37",1,37,1.95044487092309,1,2.90088974184618,2.36523519224783,1.57905286981748,3.15141751467819,2.15784003158546,2.15784003158546
"38","1_38",1,38,1.93000604264631,1,2.86001208529261,2.46906249331794,1.52874836640928,3.40937662022661,2.19953426798212,2.19953426798212
"39","1_39",1,39,1.96717828651578,1,2.93435657303156,2.50280977125205,1.78643592813903,3.21918361436508,2.23499402888392,2.23499402888392
"40","1_40",1,40,1.70203916620686,1,2.40407833241372,2.49474161796719,1.64731278875446,3.34217044717991,2.09839039208702,2.09839039208702
"41","1_41",1,41,1.81992963352295,1,2.6398592670459,2.2449248936402,1.54089955355062,2.94895023372977,2.03242726358158,2.03242726358158
"42","1_42",1,42,1.81020746452062,1,2.62041492904124,2.62187151695835,1.72898025046528,3.51476278345142,2.21603949073948,2.21603949073948
"43","1_43",1,43,1.83140129501327,1,2.66280259002655,2.61120576706008,1.70487132308318,3.51754021103699,2.22130353103668,2.22130353103668
"44","1_44",1,44,1.81878792469197,1,2.63757584938394,2.31127304483821,1.59138647009905,3.03115961957738,2.06503048476509,2.06503048476509
"45","1_45",1,45,2.05512870479205,1,3.1102574095841,2.08799927283386,1.70525076109649,2.47074778457122,2.07156398881295,2.07156398881295
