"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"2332","94_1_G","94",1,"G",1,1,1,NA,NA,NA,1
"2333","94_1_H","94",1,"H",1.94016579754438,2.88033159508876,1,NA,NA,NA,1.94016579754438
"2334","94_1_I","94",1,"I",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2335","94_1_J","94",1,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"2336","94_1_K","94",1,"K",1.68496189751865,2.3699237950373,1,1,1,1,1.34248094875933
"2337","94_1_L","94",1,"L",1.37738267530166,1.75476535060332,1,1.44494078742115,1.88988157484231,1,1.41116173136141
"2338","94_1_M","94",1,"M",NA,NA,NA,NA,NA,NA,NA
"2339","94_1_N","94",1,"N",1,1,1,NA,NA,NA,1
"2340","94_1_O","94",1,"O",1,1,1,NA,NA,NA,1
"2341","94_1_P","94",1,"P",1,1,1,NA,NA,NA,1
"2342","94_1_Q","94",1,"Q",1,1,1,NA,NA,NA,1
"2343","94_1_R","94",1,"R",1,1,1,NA,NA,NA,1
"2344","94_1_S","94",1,"S",1.44494078742115,1.88988157484231,1,2,2.5,1.5,1.72247039371058
"2345","94_1_T","94",1,"T",1,1,1,1,1,1,1
"2346","94_1_V","94",1,"V",1.3406605379734,1.68132107594681,1,1.48006585210389,1.96013170420779,1,1.41036319503865
"2347","94_1_W","94",1,"W",NA,NA,NA,NA,NA,NA,NA
"2348","94_1_X","94",1,"X",1.40948425582659,1.81896851165317,1,1.44494078742115,1.88988157484231,1,1.42721252162387
"2349","94_1_Y","94",1,"Y",1.41121071527281,1.82242143054562,1,1,1,1,1.2056053576364
"2350","94_1_Z","94",1,"Z",1,1,1,1.44494078742115,1.88988157484231,1,1.22247039371058
"2351","95_1_C","95",1,"C",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"2352","95_1_A","95",1,"A",NA,NA,NA,NA,NA,NA,NA
"2353","95_1_B","95",1,"B",1,1,1,1.34921661701159,1.69843323402318,1,1.1746083085058
"2354","95_1_D","95",1,"D",1.66828677074282,2.33657354148564,1,1,1,1,1.33414338537141
"2355","95_1_E","95",1,"E",1,1,1,NA,NA,NA,1
"2356","95_1_F","95",1,"F",1,1,1,NA,NA,NA,1
"2357","95_1_G","95",1,"G",1,1,1,NA,NA,NA,1
"2358","95_1_H","95",1,"H",1.94016579754438,2.88033159508876,1,NA,NA,NA,1.94016579754438
"2359","95_1_I","95",1,"I",1,1,1,1.5,2,1,1.25
"2360","95_1_J","95",1,"J",NA,NA,NA,NA,NA,NA,NA
"2361","95_1_K","95",1,"K",1.09791763547136,1.19583527094272,1,2.18179283050743,3.36358566101486,1,1.63985523298939
"2362","95_1_L","95",1,"L",1,1,1,1,1,1,1
"2363","95_1_M","95",1,"M",NA,NA,NA,NA,NA,NA,NA
"2364","95_1_N","95",1,"N",NA,NA,NA,NA,NA,NA,NA
"2365","95_1_O","95",1,"O",1,1,1,NA,NA,NA,1
"2366","95_1_P","95",1,"P",NA,NA,NA,NA,NA,NA,NA
"2367","95_1_Q","95",1,"Q",NA,NA,NA,NA,NA,NA,NA
"2368","95_1_R","95",1,"R",1.12535918113911,1.25071836227823,1,1.69055078897615,2.3811015779523,1,1.40795498505763
"2369","95_1_S","95",1,"S",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2370","95_1_T","95",1,"T",1,1,1,1,1,1,1
"2371","95_1_V","95",1,"V",1,1,1,1.5,2,1,1.25
"2372","95_1_W","95",1,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"2373","95_1_X","95",1,"X",1.7526741728056,2.5053483456112,1,1.58370559056587,1.66741118113173,1.5,1.66818988168573
"2374","95_1_Y","95",1,"Y",1,1,1,NA,NA,NA,1
"2375","95_1_Z","95",1,"Z",1.44494078742115,1.88988157484231,1,NA,NA,NA,1.44494078742115
