"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"20106","805_4_F","805",4,"F",1.40948425582659,1.81896851165317,1,1.5,2,1,1.45474212791329
"20107","805_4_G","805",4,"G",1.73011648814455,2.4602329762891,1,NA,NA,NA,1.73011648814455
"20108","805_4_H","805",4,"H",2.10077504916308,3.20155009832617,1,1.5,1,2,1.80038752458154
"20109","805_4_I","805",4,"I",1.74996247685152,2.49992495370303,1,1.77476286963001,2.18024431456471,1.3692814246953,1.76236267324076
"20110","805_4_J","805",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20111","805_4_K","805",4,"K",1.6352155020138,2.2704310040276,1,2.16158954981054,2.74092488622928,1.58225421339181,1.89840252591217
"20112","805_4_L","805",4,"L",1.41121071527281,1.82242143054562,1,1.93587294374629,2.87174588749259,1,1.67354182950955
"20113","805_4_M","805",4,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"20114","805_4_N","805",4,"N",1,1,1,NA,NA,NA,1
"20115","805_4_O","805",4,"O",1.37738267530166,1.75476535060332,1,NA,NA,NA,1.37738267530166
"20116","805_4_P","805",4,"P",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"20117","805_4_Q","805",4,"Q",1.37738267530166,1.75476535060332,1,1.5,1,2,1.43869133765083
"20118","805_4_R","805",4,"R",1,1,1,NA,NA,NA,1
"20119","805_4_S","805",4,"S",1.54848864543783,2.09697729087565,1,2.19988403368144,3.02238539206122,1.37738267530166,1.87418633955963
"20120","805_4_T","805",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20121","805_4_V","805",4,"V",1.09143527140141,1.18287054280281,1,2.30200342435602,3.60400684871205,1,1.69671934787872
"20122","805_4_W","805",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
