"","Number.of.Genotypes","Weighted.Linkage.Density"
"86",12,2.40513914824133
"87",13,2.27723381186822
"88",14,2.3099027304798
"89",15,2.44486357597427
"90",16,2.40241108519668
"91",17,2.36511161482808
"92",18,2.20193114119372
"93",19,2.14563010522011
"94",20,2.29110933333102
"95",21,2.27723381186822
"96",22,2.31614910797169
"97",23,2.24584525349332
"98",24,2.1781511970577
"99",25,2.22484249866303
"100",26,2.22484249866303
"101",2,2.3690906169186
"102",3,1.57702467841629
"103",4,2.08275610147635
"104",5,1.86373249521577
"105",6,2.09027938342875
"106",7,2.31013402143894
"107",8,1.34286921551838
"108",9,2.23508021742748
"109",10,2.29699010423591
"110",11,2.50813339159529
"111",12,2.28712917226442
"112",13,2.1307401723557
"113",14,2.33432089416874
"114",15,2.32169248844693
"115",16,2.27967747783314
"116",17,2.17173958368654
"117",18,2.41382709691056
"118",19,2.31614910797169
"119",20,2.31614910797169
"120",21,2.1781511970577
"121",22,2.29421624013805
"122",23,2.1849329567816
"123",24,2.1849329567816
"124",25,2.23046155880991
"125",26,2.22484249866303
"126",2,2.39007641039064
"127",3,1.81025418739278
"128",4,1.46060914794305
"129",5,2.30352617634491
"130",6,2.1378304325542
"131",7,2.10559432429159
"132",8,2.17113416984515
"133",9,2.37025610755067
"134",10,1.75626800195704
"135",11,2.55656813475885
"136",12,2.3092433992541
"137",13,2.34154083128708
"138",14,2.25848260535873
"139",15,2.2328212953983
"140",16,2.37903559072357
"141",17,2.38934123538967
"142",18,2.32823849304586
"143",19,2.25601920025414
"144",20,2.21995462128532
"145",21,2.28918871842862
"146",22,2.21995462128532
"147",23,2.1781511970577
"148",24,2.22484249866303
"149",25,2.22484249866303
"150",26,2.22484249866303
"151",2,1.9404571691793
"152",3,1
"153",4,2.17576677708855
"154",5,2.02737019118025
"155",6,2.07352140974977
"156",7,2.07866990564529
"157",8,1.9036928437881
"158",9,2.30551353137435
"159",10,2.38793049553489
"160",11,2.13073649989788
"161",12,2.05065465857967
"162",13,2.29960858435227
"163",14,2.53063965950908
"164",15,2.31589905708799
"165",16,2.49332730346149
"166",17,2.13378242508562
"167",18,2.17547826171173
"168",19,2.21643197460218
"169",20,2.23046155880991
"170",21,2.35250421738587
"171",22,2.27723381186822
"172",23,2.27723381186822
"173",24,2.27723381186822
"174",25,2.22484249866303
"175",26,2.22484249866303
"176",2,1.36460724253072
"177",3,2.08826314869705
"178",4,2.10750362070802
"179",5,2.36403068801508
"180",6,2.16218553222493
"181",7,1.88346176438301
"182",8,1.86706717290341
"183",9,1.67899661413351
"184",10,2.27739306928459
"185",11,2.46413546652328
"186",12,2.10912127190304
"187",13,2.37353476144436
"188",14,2.20292997306762
"189",15,2.2445898470184
"190",16,2.33382039265832
"191",17,2.36683726394266
"192",18,2.3099027304798
"193",19,2.25257351004524
"194",20,2.3099027304798
"195",21,2.1849329567816
"196",22,2.23046155880991
"197",23,2.22484249866303
"198",24,2.22484249866303
"199",25,2.23046155880991
"200",26,2.22484249866303
"201",2,1.97095272842222
"202",3,1.5220923407576
"203",4,2.37665124161605
"204",5,2.35274137026432
"205",6,1.77165661039374
"206",7,2.23657382966478
"207",8,2.12719930824135
"208",9,2.25431867314192
"209",10,2.34487525222798
"210",11,2.40008106493373
"211",12,2.14157211039084
"212",13,2.1781511970577
"213",14,2.31564952551723
"214",15,2.34707022017625
"215",16,2.37579204304215
"216",17,2.40585179655255
"217",18,2.30146855121703
"218",19,2.20670032345607
"219",20,2.23046155880991
"220",21,2.29110933333102
"221",22,2.31614910797169
"222",23,2.27723381186822
"223",24,2.23046155880991
"224",25,2.22484249866303
"225",26,2.22484249866303
"226",2,1.44494078742115
"227",3,1.58686667599217
"228",4,2.10267514094889
"229",5,2.13573629058943
"230",6,1.87923527678824
"231",7,2.36076720631702
"232",8,2.18032119461998
"233",9,2.04813287070995
"234",10,2.26334477224359
"235",11,2.43361967435488
"236",12,2.4796124730072
"237",13,2.41623176507323
"238",14,2.00303029764811
"239",15,2.36678389281898
"240",16,2.33144080722315
"241",17,2.22484249866303
"242",18,2.29110933333102
"243",19,2.25043647486923
"244",20,2.25601920025414
"245",21,2.25257351004524
"246",22,2.27723381186822
"247",23,2.1781511970577
"248",24,2.27723381186822
"249",25,2.23046155880991
"250",26,2.22484249866303
"251",2,2.06160786808421
"252",3,1.83594261798429
"253",4,2.27629599829441
"254",5,1.96286327998366
"255",6,2.60902634840884
"256",7,2.59560339229286
"257",8,2.43218155522674
"258",9,2.41170690485194
"259",10,2.30198384936673
"260",11,2.62955245100278
"261",12,2.35408312586089
"262",13,2.32743360140381
"263",14,2.32702794537424
"264",15,2.25800165158724
"265",16,2.31564952551723
"266",17,2.35250421738587
"267",18,2.27788837820341
"268",19,1.88987880343327
"269",20,2.29109951087708
"270",21,2.23046155880991
"271",22,2.23046155880991
"272",23,2.23046155880991
"273",24,2.1781511970577
"274",25,2.23046155880991
"275",26,2.22484249866303
"276",2,1.39298310504486
"277",3,2.25221433200137
"278",4,1.87235932634527
"279",5,2.54286609418875
"280",6,2.474102255901
"281",7,2.09738403064221
"282",8,2.29469498373815
"283",9,2.43710032266482
"284",10,2.32886154771844
