"","unique.sim","sim.number","genotype.richness","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total.gall.abund","total.gall_ptoid.abund","total_complexity","total_complexity.check","plants_sampled"
"24","1_24_4",1,24,4,1.80535883704663,1,2.61071767409325,2.48481001978692,1.63451752668462,3.33510251288922,6,1.73214285714286,2.14508442841677,2.14508442841678,96
"25","1_25_4",1,25,4,1.99981315621008,1,2.99962631242016,2.52215420567149,1.98398353525761,3.06032487608537,5.86111111111111,1.55555555555556,2.26098368094079,2.26098368094079,100
"26","2_1_4",2,1,4,1,NA,NA,NA,NA,NA,2.5,0,NA,NA,4
"27","2_2_4",2,2,4,1.80574007589536,1,2.61148015179071,1.49097106995279,1,1.98194213990558,8.25,2,1.64835557292407,1.64835557292407,8
"28","2_3_4",2,3,4,1.97005370795861,1,2.94010741591722,1.33333333333333,1,1.66666666666667,5.08333333333333,0.5,1.65169352064597,1.65169352064597,12
"29","2_4_4",2,4,4,1.053284821023,1,1.10656964204599,2.30551440932548,1.41635522956432,3.19467358908664,7.1875,2.125,1.67939961517424,1.67939961517424,16
"30","2_5_4",2,5,4,1.97523779248956,1,2.95047558497912,1.95363829768386,1.41192988500084,2.49534671036688,12.0625,3.3125,1.96443804508671,1.96443804508671,20
"31","2_6_4",2,6,4,1.60793105009779,1,2.21586210019557,1.95435829782862,1.53340650233766,2.37531009331958,2.7,0.45,1.7811446739632,1.7811446739632,24
"32","2_7_4",2,7,4,1.93911298343763,1,2.87822596687526,2.54556440987392,1.54695842196991,3.54417039777794,7.67857142857143,2.07142857142857,2.24233869665577,2.24233869665577,28
"33","2_8_4",2,8,4,1.76548225368133,1,2.53096450736266,2.60569347153085,1.55188433402368,3.65950260903802,6.6875,1.9375,2.18558786260609,2.18558786260609,32
"34","2_9_4",2,9,4,1.91499497102627,1,2.82998994205253,2.27966289811143,1.39038373186106,3.1689420643618,6.84375,1.8125,2.09732893456885,2.09732893456885,36
"35","2_10_4",2,10,4,2.06099009943684,1,3.12198019887367,2.5054739011858,1.35386937724164,3.65707842512995,5.57142857142857,1.53571428571429,2.28323200031132,2.28323200031132,40
"36","2_11_4",2,11,4,1.85955392496092,1,2.71910784992184,2.30918126481794,1.66810432264728,2.9502582069886,7.22727272727273,2.36363636363636,2.08436759488943,2.08436759488943,44
"37","2_12_4",2,12,4,1.74798534657529,1,2.49597069315059,2.30607074144773,1.42011764851863,3.19202383437683,7.02272727272727,2.15909090909091,2.02702804401151,2.02702804401151,48
"38","2_13_4",2,13,4,2.08538486844726,1,3.17076973689451,2.46700720097427,1.75968412939145,3.17433027255709,6.625,1.65,2.27619603471076,2.27619603471076,52
"39","2_14_4",2,14,4,1.96958968420702,1,2.93917936841405,2.23612702694832,1.77022130183387,2.70203275206276,6.20454545454545,1.77272727272727,2.10285835557767,2.10285835557767,56
"40","2_15_4",2,15,4,1.87750650854036,1,2.75501301708072,2.12810449153661,1.58557554104654,2.67063344202669,7.26923076923077,2.07692307692308,2.00280550003849,2.00280550003849,60
