"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"17","V",228,9,1,0,0,1.52765529279356,2.23053016663035,0.5023,1.7996,0.909090909090909,446.946,53.426,0.186,0.502,0,11.539,1.687,0.223,25.238,0,0.269,11.353,0.344,0,1.186,3.284,0.794,0,0,0.216,3.134,0.629,0,1.494,0,0.626,0,0.568,0,0,0,NA,NA,NA,2,10.7547297297297,48.9050852416667,1.00643783816667,49.0621774512822,2.92008131846154,-0.997345648841748,1.4568641820981,1.32722088154287,2.75275068587089,-1.60184226987832
"18","F",231,13,0,0,0,3.09530839926794,2.49544146148465,0.4739,1.8392,1.81818181818182,340.403,85.518,0.205,1.157,0,0.558,0.23,0.349,34.933,3.099,0.81,31.551,1.029,4.415,1.668,1.864,2.693,0,9.68,0.717,10.068,0,0,1.487,0,0.959,0,8.199,0,0,0.244,0.871766388,44.52452087,51.0739132442899,1.83233532934132,10.9670658682635,47.827425384,0.8790121316,54.8639562560522,1.04019005220186,-1.41913681367799,-1.65999401103841,-2.49740894270755,-1.32490091117582,1.91298864233163
"19","A",232,3,0,0,0,1.50784905618313,2.50346907648023,0.3087,1.7859,4.54545454545454,417.773,49.697,0.16,0,0.065,0,0,0,19.551,0,0.48,0,0.324,0,1.424,0.561,2.094,0,0,0.18,4.873,0.13,0,0.814,0,0.422,0,0,0,0,0,NA,NA,NA,1.95681818181818,10.4806818181818,49.11685562,1.0307981968,47.8206873923494,3.90101878526106,-2.05821609074115,-1.19634314111589,0.084611098636441,-0.135444127126726,-1.60184226987832
"20","F",233,0,0,0,0,0.776841106639824,1.81538779114439,0.3088,1.6761,1.81818181818182,303.876,76.026,0.277,1.891,0.217,0.416,0.171,0.429,29.518,3.385,0.629,94.421,0.945,5.659,1.562,1.462,2.504,0,12.824,0.62,8.877,0,0,1.509,0,0.833,0.277,46.622,0,0,7.463,NA,NA,NA,1.71974522292994,9.43057324840764,47.827425384,0.8790121316,54.8639562560522,-0.617684534240137,-1.00274057613913,-2.06236976405237,-2.148967243312,-1.05330606104543,2.29670779504396
"21","W",234,6,1,0,0,1.28650449839792,2.43122054151997,0.3502,1.7842,0.909090909090909,159.126,63.454,0.373,4.284,0.153,7.874,1.817,1.727,13.844,0,0.337,119.868,43.484,0,1.296,1.088,3.192,4.005,0,0.522,6.16,0.772,0,0.783,2.156,0.151,2.359,51.858,3.053,5.16,5.358,NA,NA,NA,2.18231046931408,10.6815884476534,49.489682768,0.9449272872,52.768762561283,-3.19073214865907,4.23650691683072,0.548564568206812,1.82622102157134,-1.59664329849404,-1.60184226987832
"22","X",235,1,0,0,0,1.15862144159014,2.40599089439099,0.3066,1.7185,10.9090909090909,414.572,53.281,0.229,0.819,0,8.662,2.25,0.291,28.881,0,0.526,5.607,0.749,0,1.646,2.426,2.801,0,0,0.243,4.544,0.672,0.187,1.104,0.41,0.325,0,0,0,0,0,NA,NA,NA,1.9577677224736,9.15852187028658,48.502789306,0.9589180112,50.7801486486287,2.77514782439002,-0.725114474856862,0.869149289829526,1.92684351773715,-0.44360944015013,-1.60184226987832
"23","*",240,2,0,0,0,1.75519554650652,2.33603596371518,0.4419,1.7964,0,314.294,61.349,0.237,2.66,0,6.525,1.598,4.574,10.356,0,0.342,84.023,49.616,0,1.392,2.745,2.161,3.128,0,0.286,5.096,0.836,0.596,1.034,1.679,0.271,0.871,5.326,0,0,1.012,NA,NA,NA,1.78294573643411,11.5328165374677,48.780740358,0.9150824786,53.3981372541112,0.58010725109604,3.85211320957771,1.25643154857874,3.48369607884055,-0.942951338824233,-1.60184226987832
"24","X",243,1,0,0,0,1.43117814104934,2.42089932223993,0.3332,1.7669,24.5454545454545,432.855,46.905,0.223,0.097,0,7.918,2.329,0.363,30.1,0,0.672,2.001,0.538,0,1.242,2.453,2.64,0,0,0.23,4.199,0.3,0.162,0.982,0.258,0.33,0,0,0,0,0,NA,NA,NA,1.80929095354523,8.72273838630807,48.502789306,0.9589180112,50.7801486486287,3.49493964168045,-0.685533566184577,0.58683183468014,2.00654675632879,-0.580146794678555,-1.60184226987832
"25","L",244,3,0,0,0,1.52571806925258,2.89452860697944,0.3366,1.7894,0,454.389,53.125,0.198,0.358,0,6.924,1.789,0.205,11.858,0.354,0.199,0,0,2.005,1.005,1.028,1.976,0,2.625,0.086,2.31,0.616,0,1.869,0,0.413,0,1.577,0,0,0,NA,NA,NA,2.19493670886076,12.206582278481,49.282575226,0.8306997418,60.1190874362029,3.28222626265168,-1.21464076340142,2.10749531603917,0.917985940420542,2.02853171209192,0.167006277662106
"26","L",245,6,0,0,0,1.76845888622871,2.59980045642725,0.4025,1.77,0,395.04,49.623,0.237,0.441,0,5.507,1.395,0.193,11.368,0.363,0.157,0,0,3.073,1.031,0.909,1.904,0,3.412,0.194,2.553,0.549,0,1.959,0,0.522,0,0,0,0,0,NA,NA,NA,1.91761363636364,10.4232954545455,49.282575226,0.8306997418,60.1190874362029,3.18844673117646,-1.35859470563373,1.98446053389861,0.371237542095539,2.0826904311363,0.431268004060745
