"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"92","I",479,5,5,0,0,3.59208195536741,2.62617690569846,0.5567,1.8656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.565077972,1.144735384,42.7304085123588,NA,NA,NA,NA,NA,NA
"93","A",481,2,0,0,0,3.69364218177958,2.63535132283627,0.4769,1.8627,0,315.837,71.645,0.151,0.409,0.068,0,0,0.123,18.748,0,0.364,5.726,0.348,0,1.766,0.644,2.649,0.208,0.207,0.216,5.242,0.171,0,1.205,0,0.583,0,0.671,0,0,0,1.11966598,49.14498138,43.8925378263257,2.1985559566787,11.4945848375451,49.11685562,1.0307981968,47.8206873923494,2.33541136197501,-1.79194407743373,-1.00513586924951,-0.850175522518958,-0.0257641411864508,-1.41539603118767
"94","X",492,2,0,0,0,1.84845714390064,2.60897487356506,0.3312,1.7869,22.7272727272727,344.807,44.931,0.242,0.832,0,8.378,2.115,0.444,27.925,0,0.616,27.402,1.41,0,1.593,2.528,2.821,0,0,0.196,4.646,0.68,0.188,1.422,0.273,0.382,0,1.263,0,0,0,NA,NA,NA,1.86201022146508,9.03696763202726,48.502789306,0.9589180112,50.7801486486287,2.29340690336665,-0.492977538890365,0.699361257673957,1.59288343740868,-0.18588158289466,-1.60184226987832
"95","R",493,4,1,4,1,1.70701483746116,2.21906214520809,0.3614,1.8026,1.81818181818182,142.707,57.259,0.351,3.164,0.217,14.095,4.204,0.107,12.884,0.329,0.244,115.656,0.774,0.495,0.72,1.969,2.332,0,3.098,0.421,5.224,0.837,0,1.264,0.358,0.462,0,38.324,0,2.769,26.664,NA,NA,NA,2.13928571428571,10.2925,48.111562348,1.2088635922,40.2915967181854,-2.52565748908239,-0.381491664370016,2.21794493871626,1.20840167135373,0.280550083948581,-0.141418186574733
"96","H",494,8,0,2,2,3.10000218801048,2.77067397561899,0.4054,1.8529,0,199.885,69.394,0.393,4.878,0.078,6.588,5.697,0.063,7.13,0,0.452,118.254,0,0.273,3.629,0.845,2.531,0,0.432,0.897,4.843,0.586,0,2.482,0,0.771,0,69.673,0,1.923,12.336,NA,NA,NA,2.19945355191257,11.8789617486339,49.003610992,1.089426303,45.3411144993612,-2.68905582509859,-0.715320742642937,2.61805638031574,-2.72358096893303,1.60608143105776,-1.07497284729402
"97","X",495,1,0,0,0,2.30934274617372,2.47938623149348,0.3697,1.8134,30.9090909090909,468.114,51.869,0.215,0.542,0,8.36,2.455,0.324,25.845,0,0.748,15.195,0.851,0,1.568,2.424,2.302,0,0,0.216,3.787,0.446,0.135,1.115,0.181,0.313,0,1.605,0,0,0,NA,NA,NA,2.38738738738739,9.9963963963964,48.502789306,0.9589180112,50.7801486486287,2.8120282742254,-0.572782927636294,0.704822496695871,1.89972664000492,0.0824657704156885,-1.60184226987832
"98","K",497,4,3,0,0,NA,NA,NA,NA,0,342.181,50.468,0.204,0.849,0.253,5.661,2.648,3.024,25.708,0.768,0.764,17.59,16.639,22.416,0.7,0.687,3.384,0.518,23.198,0.108,4.76,0.119,0,2.069,0,0.537,0.296,10.16,0,0,0,0.941458821,48.88948441,51.9294984756428,2.24528301886792,10.9056603773585,48.791540528,0.8343053222,59.1622887824581,2.10413835629736,2.18755650413979,-0.530105242712675,-0.569672567114644,-0.111976636771968,3.30493395164211
"99","F",499,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","R",501,2,0,1,1,NA,NA,NA,NA,10.9090909090909,310.207,68.938,0.273,1.522,0,19.951,5.014,0.213,16.168,1.696,0.267,92.445,0.799,2.171,1.312,2.42,3.251,0,7.857,0.212,5.538,0.641,0,2.234,1.024,0.572,0,37.442,0,0,22.204,NA,NA,NA,1.79225352112676,8.50211267605634,48.111562348,1.2088635922,40.2915967181854,-0.664783915934598,-0.382745669878612,2.87619217083959,0.355814330805745,0.119649830566777,1.163905428218
"101","Q",502,0,0,1,1,NA,NA,NA,NA,3.63636363636364,270.196,67.22,0.355,2.838,0,1.594,1.049,0.249,25.583,0.389,1.246,64.409,0.241,3.56,2.151,0.251,4.171,0,11.637,0.332,6.393,0,0,0.906,0,0.292,0.264,54.295,0,0,3.527,NA,NA,NA,1.91758241758242,10.2436813186813,49.360918045,1.127515167,43.873397689227,-0.641018857579521,-0.930577360720378,-1.14846465823064,-1.47459030318614,-2.15715189192754,1.15270000093678
"102","S",503,1,1,0,0,NA,NA,NA,NA,3.63636363636364,223.336,66.122,0.376,4.644,0,2.411,0.683,0.071,18.338,0,0.305,199.237,0,0,1.537,2.288,3.615,0,0,0,4.988,0.144,0,1.247,0,0.253,0,69.345,0,4.006,33.337,NA,NA,NA,1.82986111111111,11.6267361111111,48.706655122,0.8022036196,61.4420960176138,-3.49428698156213,-1.7209944878442,0.548733537886633,0.761341947501635,-0.855903399308804,-1.60184226987832
"103","U",506,0,3,0,0,2.26909899847922,2.40255048796431,0.3836,1.8229,4.54545454545454,377.151,68.12,0.211,2.58,0.127,9.592,5.578,0.104,26.588,0,0.921,124.13,0.48,0.255,1.001,1.349,1.365,0,0.722,0.221,3.568,0.45,0,0.696,0,0.277,0,104.111,0,0,8.348,NA,NA,NA,1.84057971014493,8.48647342995169,49.005563356,1.0754945874,45.9622379121635,-0.772226888829611,-0.307239523469312,0.702999833910719,1.7458425459009,0.885594127113872,-1.00474661972036
"104","Z",510,5,0,0,0,2.81903901681065,2.79705042489019,0.3686,1.8301,6.36363636363636,398.751,50.53,0.3,3.511,0.211,0.154,0.152,0.782,9.582,0,0.486,85.004,0.437,0.702,1.535,0.467,2.791,0,3.527,0,7.134,0,0,1.828,0,0.661,0,29.246,0,0,3.675,0.773803473,49.59204865,64.088687089674,1.71929824561404,8.37543859649123,48.995640564,0.7646745206,64.1227205054078,0.25983013853654,-1.24346256134061,-0.753719221163683,-1.45423707947816,-0.81424992001798,-0.419275036186721
"105","L",511,13,0,0,0,1.70161744071154,2.69039782566314,0.349,1.8089,2.72727272727273,457.457,53.518,0.371,0.683,0,5.924,1.305,0.199,10.041,0.451,0.114,9.296,0.29,3.05,0.916,0.965,1.566,0,4.243,0.139,1.993,0.496,0,1.703,0,0.446,0,0.413,0,0,0,NA,NA,NA,1.79220779220779,8.75194805194805,49.282575226,0.8306997418,60.1190874362029,2.50337031241739,-1.27170588225032,2.19297899198503,1.04920797842969,2.32859646803568,0.562438573275311
"106","E",514,2,0,0,0,2.28523726736678,2.40713769653322,0.4046,1.8447,0,251.438,62.63,0.39,3.366,0.161,0.307,0.173,0.245,27.246,0.565,0.745,121.576,0.23,5.146,1.557,0.975,1.426,0,7.682,0.408,4.403,0.578,0,1.483,0,0.852,0.302,66.526,0,1.657,0.173,NA,NA,NA,1.72142857142857,9.4097619047619,48.2286357875,1.02753892525,47.0171702640956,-1.39001600568299,-1.30669878752713,-2.00886205331464,-0.590200066041503,1.85802176696909,1.16622691307888
"107","S",518,8,0,0,0,3.14304984649206,2.98512597621532,0.4861,1.8419,0.909090909090909,249.759,63.839,0.546,6.184,0,5.911,1.462,0.183,18.301,0,0.295,209.768,0.361,0,1.436,2.262,3.103,0,0,0,4.43,0.174,0,1.3,0,0.242,0,73.054,0,3.722,29.29,0.864971876,48.86071014,56.488206721764,1.72363636363636,10.8945454545455,48.706655122,0.8022036196,61.4420960176138,-3.81013843020387,-1.17653315136813,1.29803123369835,1.04697996010138,-0.368255156307488,-1.60184226987832
"108","D",52,8,4,1,0,0.891985570631619,2.3325955572885,0.2723,1.7038,0,411.321,57.715,0.387,3.154,0.367,0.123,0.069,0.371,23.964,4.254,0.584,54.361,0.184,5.341,1.715,0.399,3.176,0,14.062,0.411,4.116,0.517,0,1.485,0,0.258,0,49.43,0,0,0.869,NA,NA,NA,1.36144578313253,8.1055421686747,49.675281524,0.8330973388,60.3955692129545,0.230806116545804,-1.45611660798845,-2.25116708435295,-0.400178712792122,0.140470177962817,2.48482266290354
"109","A",520,4,0,0,0,2.72246454358508,2.68695741923646,0.3595,1.8528,1.81818181818182,454.317,52.063,0.231,0,0,0,0,0,20.753,0,0.41,0,0,0,1.647,0.603,2.366,0,0,0.286,5.294,0.217,0,1.052,0,0.513,0,0,0,0,0,1.030895233,49.39281845,47.9125490824731,2.13385826771654,11.0728346456693,49.11685562,1.0307981968,47.8206873923494,3.76659365650812,-2.27463231742081,-0.94195253015477,-0.557649000797439,-0.0166747155780567,-1.60184226987832
"110","U",521,3,0,0,0,1.24869773320269,2.46562460578676,0.3555,1.7732,0,122.049,81.232,0.313,3.52,0.2,5.58,2.97,0.094,24.906,0,0.895,175.327,0.608,0,1.532,2.23,2.258,0,0,0.158,5.47,0.704,0,1.094,0.377,0.401,0,127.521,0,4.991,20.92,NA,NA,NA,2.48780487804878,12.2409756097561,49.005563356,1.0754945874,45.9622379121635,-4.07351967470822,-0.554464311405756,-0.0999573773245918,1.18294743207127,0.115831716312172,-1.60184226987832
"111","Q",523,0,0,0,0,2.11146581694604,3.05622770903336,0.4232,1.8168,0.909090909090909,257.528,55.258,0.304,2.222,0.164,1.893,1.023,0.231,30.693,0.33,1.271,74.914,0.195,3.815,2.274,0.261,5.08,0,12.053,0.697,7.537,0.311,0,1.019,0,0.353,0,58.116,0,0,4.004,1.196421266,49.67525864,41.5198726833731,1.98543689320388,10.1864077669903,49.360918045,1.127515167,43.873397689227,-0.313358220672889,-1.00898500877174,-1.68982862992731,-1.95202785051802,-2.05822025319558,1.17651248671016
"112","E",527,4,0,0,0,2.67102882553501,2.63764492712072,0.4283,1.8357,0,336.217,52.051,0.354,2.777,0.157,0.23,0.173,0.343,33.113,0.662,0.828,95.265,0.264,6.49,1.352,0.841,1.42,0,8.008,0.314,4.243,0.558,0,1.499,0,0.862,0.278,54.043,0,0,0.543,NA,NA,NA,1.60576923076923,8.42764423076923,48.2286357875,1.02753892525,47.0171702640956,0.00987154137962212,-1.25354380827416,-2.34933170519557,-0.442456858152198,1.88619657120206,1.37001262933542
"113","Z",529,1,0,0,0,3.17308930535121,2.61585568641842,0.4588,1.8611,8.18181818181818,414.745,58.227,0.27,2.91,0.266,0.171,0.17,1.241,12.229,0,0.545,78.963,0.558,0.618,1.273,0.398,2.2,0,1.905,0.701,6.038,0,0,1.695,0,0.697,0,30.502,0,0,3.145,0.802311182,49.11040115,61.2111637626409,2.16079295154185,9.97929515418502,48.995640564,0.7646745206,64.1227205054078,0.357325117126889,-0.944811936812929,-1.23188849700165,-1.92592114136519,-0.203168212293485,-0.64877108282721
"114","J",53,1,3,1,2,1.54706303739251,2.23053016663035,0.4859,1.8168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.219747424,49.10616302,40.2592881557092,NA,NA,49.128264618,1.1675513266,42.229903922324,NA,NA,NA,NA,NA,NA
"115","A",532,4,0,0,0,3.01318090540263,2.56424959001823,0.3533,1.8624,0,455.183,56.195,0.179,0.232,0.077,0,0,0,25.817,0,0.471,5.296,0.388,0,2.16,0.874,2.704,0,0.167,0.339,5.562,0.31,0,1.691,0,0.793,0,0.711,0,0,0,0.952981889,49.6169281,52.0649224006397,1.90566037735849,10.2343396226415,49.11685562,1.0307981968,47.8206873923494,3.15018503531305,-2.04703683569615,-1.509539806041,-1.64544141284928,0.540718663220074,-1.43437625361338
"116","T",533,1,0,0,0,2.62420535660798,3.37274510028785,0.4667,1.8461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.246979524,1.2887554406,37.8304084125129,NA,NA,NA,NA,NA,NA
"117","G",534,9,0,0,0,1.16663336678475,2.53557953646257,0.2197,1.7967,0,264.561,56.572,0.3,1.851,0,4.491,1.341,1.247,30.794,0.233,0.679,98.437,3.967,1.046,2.75,0.622,2.498,0,3.749,0.608,4.569,1.251,0,1.621,0,0.735,0.297,54.428,0,0,5.849,NA,NA,NA,1.97003745318352,9.74662921348315,49.346783448,0.956262064,51.8372748822095,-0.410451407204203,0.197419863892832,-0.234368534895925,-1.47314840499453,1.59967645863062,0.0258994508237048
"118","L",535,6,0,0,0,2.65314534575887,2.71333386850767,0.3259,1.8478,0,445.179,47.384,0.273,0.792,0,5.517,1.128,0.225,12.83,0.385,0.15,5.922,0.251,8.593,1.029,1.008,1.698,0,9.74,0.144,2.174,0.626,0,2.025,0,0.531,0,1.325,0,0,0,NA,NA,NA,2.06060606060606,10.5186147186147,49.282575226,0.8306997418,60.1190874362029,2.78061710142467,-1.31030077957902,1.77332325672211,0.627164036954326,2.51404194679678,1.54634155661438
"119","Z",536,11,0,0,0,3.19870852773974,2.4713586164979,0.4926,1.8607,0.909090909090909,337.173,49.681,0.323,4.087,0.255,0.35,0.274,1.383,9.899,0,0.389,132.353,0.478,0.287,1.435,0.582,2.362,0,1.429,0.841,7.119,0.104,0,1.834,0,0.762,0.315,61.706,0,1.657,14.316,NA,NA,NA,2.0972850678733,11.4251131221719,48.995640564,0.7646745206,64.1227205054078,-1.47925470901554,-0.617048757433629,-0.706745776402474,-2.14420836838378,-0.0932207319527578,-0.847923904885557
"120","H",54,4,0,0,1,1.50131668053612,2.45645018864895,0.3257,1.7577,0,201.052,69.671,0.342,4.085,0.105,4.967,4.963,0.086,7.712,0,0.491,146.193,0,0.252,2.235,0.48,1.801,0,0.435,0.677,3.749,0.588,0,1.678,0,0.573,0,43.733,0,2.869,10.187,NA,NA,NA,2.18151815181518,11.8950495049505,49.003610992,1.089426303,45.3411144993612,-2.44908811957464,-0.76752413256593,2.15752123514616,-1.06924496810799,1.72794540547111,-1.08414216282025
"121","W",541,1,7,0,0,2.07195855613746,2.73741671349442,0.4111,1.7937,4.54545454545454,248.749,49.734,0.251,2.851,0.123,8.329,1.667,3.23,18.971,0,0.557,128.483,53.383,0,1.983,1.114,3.298,3.006,0,0.651,6.326,0.88,0,0.998,2.307,0.197,1.992,54.138,0,0,6.015,0.945927799,48.99619293,51.7969690517574,2.08995815899582,10.3167364016736,49.489682768,0.9449272872,52.768762561283,-0.571279369600398,4.35940188588774,-0.0442390088296614,1.09718653186345,-1.31290125761299,-1.60184226987832
"122","Z",55,6,0,0,0,1.57987747362537,2.16516244452345,0.3668,1.7769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.995640564,0.7646745206,64.1227205054078,NA,NA,NA,NA,NA,NA
"123","Q",557,0,18,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.055861592,50.06020355,47.4117099526052,NA,NA,49.360918045,1.127515167,43.873397689227,NA,NA,NA,NA,NA,NA
"124","W",558,19,2,0,0,2.78846692011436,2.79131641417906,0.4284,1.8361,0,320.675,62.549,0.248,1.9,0.109,9.249,2.034,4.061,24.654,0,0.652,68.795,37.289,0,1.393,0.955,2.798,1.502,0,0.585,5.636,0.739,0,0.867,1.908,0.181,0.982,36.638,0,0,2.687,NA,NA,NA,1.91457286432161,10.6103015075377,49.489682768,0.9449272872,52.768762561283,0.247800482948576,3.5199930312085,-0.0709327869046114,1.60116005697965,-1.08215358937495,-1.60184226987832
"125","I",562,11,2,14,6,2.46996396021546,2.4369545522311,0.529,1.8322,0,283.743,66.634,0.429,2.78,0.204,7.304,1.894,0.499,17.401,2.22,0.325,101.942,3.676,1.531,1.562,0.787,3.229,0,5.02,0.763,7.317,0,0,1.803,0,0.778,2.808,29.864,0,0,12.52,NA,NA,NA,1.83333333333333,13.397311827957,48.565077972,1.144735384,42.7304085123588,-1.04195240094116,1.2568040396235,0.378853968033463,-2.55699713464693,-0.945203175502347,0.945401820391438
"126","T",566,1,4,0,1,2.05723670935013,3.00118120620649,0.4522,1.8183,0,252.484,69.84,0.324,2.051,0.067,0.927,0.185,0.259,14.731,7.142,0.215,105.033,2.516,2.576,1.866,2.554,3.239,0,8.163,0.49,7.354,0,0,0.969,0,0.298,0,24.606,0,0,1.612,NA,NA,NA,2.15467625899281,11.6665467625899,48.246979524,1.2887554406,37.8304084125129,-0.36315972586592,-1.34212191035435,0.0232900925693837,-0.603808525301599,-1.88228434915469,2.18816823751636
"127","O",569,9,10,0,0,3.47717290414808,3.2098991960917,0.4997,1.8614,0,454.657,54.175,0.27,1.546,0.1,4.978,2.112,0.582,31.601,6.665,0.767,27.562,1.702,2.132,0.633,1.737,1.499,0,4.301,0,3.315,1.333,0,1.022,0,0.375,0.411,7.564,0,0,0.217,NA,NA,NA,1.86885245901639,8.44644808743169,48.354571532,0.8884563446,54.959938276439,1.84399477425295,0.0342947732361013,-0.36647726997621,2.57000281102357,1.74679010212765,1.73371232815269
"128","U",587,2,3,0,0,1.31849827781505,2.38878886225759,0.352,1.7651,3.63636363636364,230.73,74.794,0.188,2.264,0.132,6.141,4.535,0.081,31.684,0,1.407,135.913,0.475,0,0.888,1.634,1.542,0,0.619,0.373,4.067,0.554,0,0.753,0.29,0.272,0,114.211,0,0,16.65,NA,NA,NA,2.23287671232877,10.0461187214612,49.005563356,1.0754945874,45.9622379121635,-1.6690051366171,-0.368364947816164,-0.386366260015832,2.05980203800603,0.462212888383549,-1.27942835408101
"129","G",59,6,0,1,0,2.61355654533077,2.47709262720903,0.4216,1.8325,0,459.711,57.543,0.189,1.106,0,3.761,1.25,0.746,32.339,0.36,0.627,36.59,1.201,2.099,1.964,0.537,1.588,0,4.958,0.332,3.03,0.73,0,0.692,0,0.325,0,11.675,0,0,0.269,NA,NA,NA,1.89261744966443,11.0787472035794,49.346783448,0.956262064,51.8372748822095,1.93546669555077,-0.683903846224147,-0.180843318152671,0.804662059754093,1.33710652161577,0.435143338320216
"130","W",590,10,1,0,0,1.57680658634214,2.44383536508446,0.4316,1.8131,0,293.005,51.44,1.121,9.847,0,7.399,1.584,3.265,19.632,0,0.456,77.184,25.159,0,1.565,0.841,2.766,2.962,0,0.286,6.053,0.762,0,0.931,2.033,0.227,1.036,23.71,0,0,1.9,0.999313235,49.4318161,49.4657874715329,2.22849462365591,10.1559139784946,49.489682768,0.9449272872,52.768762561283,-1.93152375462982,3.44686759895495,0.515119393816919,1.51961199413978,-1.05553710211603,-1.60184226987832
"131","Y",60,8,0,0,0,1.85813405551947,2.39911008153763,0.4775,1.7931,28.1818181818182,215.728,61.119,0.351,3.356,0.464,7.411,5.18,1.552,19.802,0,0.844,124.62,70.466,0.477,0.909,1.287,2.282,3.424,2.19,0.435,6.005,0.515,0.577,0.848,1.066,0.33,3.094,42.569,2.354,3.131,6.176,1.12046957,49.983284,44.6092293251659,1.98376623376623,11.6418831168831,49.428104402,1.0590504764,46.8915922931631,-2.38774539567441,5.22308683204979,-0.782652642343944,2.68844935301466,-1.59060328196675,-0.654994413663946
"132","P",62,7,7,3,0,2.1784177354961,2.92205185839287,0.4101,1.7848,25.4545454545455,376.836,46.659,0.112,0.384,0,12.69,2.839,0.094,17.631,0,0.275,7.374,0.107,0,0.569,0.88,4.189,0,0,0.312,7.641,0.303,0,0.457,0,0.278,0,1.935,0,0,0,NA,NA,NA,1.97597597597598,10.3915915915916,47.621665192,0.8662799836,55.8951439797141,3.14581611836058,-0.965695868302249,2.1761834269501,0.554079609276124,-2.49630455668641,-1.60184226987832
"133","Q",63,0,4,2,2,1.69205757790137,2.88076698127272,0.3866,1.7954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.360918045,1.127515167,43.873397689227,NA,NA,NA,NA,NA,NA
"134","B",65,13,0,0,0,1.54593463427088,2.0630970538653,0.4138,1.7931,NA,418.859,59.371,0.239,0.166,0.263,0.233,0.118,0.15,40.646,0.233,0.693,0,0.299,4.166,1.375,1.254,3.467,0,4.222,0.22,5.398,0.615,0,1.944,0,0.767,0,0,0,0,0,NA,NA,NA,NA,NA,48.228001275,0.949053893666667,51.3820353038341,3.20037349375596,-1.60943056089037,-2.59614725322415,-1.04346281493749,0.468797435514198,0.576378751859409
"135","S",658,14,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","N",69,15,0,0,0,2.65904381662194,3.21563320680283,0.3285,1.8493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.99968338,1.0214545368,48.0055005411854,NA,NA,NA,NA,NA,NA
"137","Z",71,14,0,0,0,3.39897903934663,2.78328879918348,0.42,1.8551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.995640564,0.7646745206,64.1227205054078,NA,NA,NA,NA,NA,NA
"138","E",72,4,0,0,0,2.02027032829794,2.51149669147582,0.4562,1.8075,0,276.248,63.409,0.381,3.097,0.202,0.323,0.177,0.142,27.524,0.47,0.956,111.713,0,9.101,1.245,0.727,1.555,0,9.954,0.425,4.964,0.674,0,1.418,0,0.766,0.235,56.696,0,0,0,1.018353343,48.63980865,47.7631943611148,1.79646017699115,10.1616519174041,48.2286357875,1.02753892525,47.0171702640956,-0.530856656454862,-1.40267854502456,-2.33579885897149,-0.47031826018809,1.45010072504188,1.64692868947067
"139","P",73,17,1,0,0,2.60092711039253,3.10783380543355,0.4163,1.811,24.5454545454545,473.562,49.979,0.089,0.117,0,14.378,2.873,0.235,17.837,0,0.296,2.47,0,0,0.856,1.166,4.998,0,0,0,8.454,0.41,0,0.527,0,0.288,0,0,0,0,0,NA,NA,NA,1.87064676616915,9.47114427860696,47.621665192,0.8662799836,55.8951439797141,3.90655677527522,-0.860154902945803,2.19866084023302,0.750434847064751,-2.80851536389802,-1.60184226987832
"140","N",74,8,0,0,0,2.11936463879745,2.94613470337963,0.3169,1.8,0.909090909090909,314.972,53.735,0.292,1.465,0.065,4.323,1.25,0.135,25.291,2.463,0.36,37.153,0.301,1.61,0.825,1.438,1.09,0,7.988,0.146,2.061,0.404,0,1.05,0.778,0.295,0,5.902,0,0,0,NA,NA,NA,2.19558359621451,10.5637223974763,47.99968338,1.0214545368,48.0055005411854,1.42315568725573,-1.2505435452042,0.421755461126241,2.8232199988296,1.68590970420582,1.25531841448908
"141","J",75,6,5,0,2,2.0752096196767,2.53328593217812,0.449,1.8178,1.81818181818182,278.403,60.628,0.357,2.908,0.191,3.861,1.438,0.121,25.235,0,0.499,104.846,0.304,0,1.358,0.829,2.378,0,0,0.463,5.939,0.323,0,1.279,0,0.51,0,86.675,0,1.708,3.386,NA,NA,NA,2.24137931034483,13.2551724137931,49.128264618,1.1675513266,42.229903922324,-1.44546887635708,-1.05831950395226,-0.138987464643567,-0.633237874704482,-0.0189460007397544,-1.60184226987832
"142","T",77,1,0,0,0,2.49436271862161,3.28444133533641,0.4474,1.8026,0,317.602,59.339,0.259,2.415,0.069,1.09,0.271,0.26,16.742,8.107,0.248,79.9,1.839,3.405,1.028,1.612,2.499,0,9.747,0.412,6.434,0,0,0.605,0.271,0.192,0.214,19.556,0,0,0.807,NA,NA,NA,1.89847715736041,10.0604060913706,48.246979524,1.2887554406,37.8304084125129,0.43927377015059,-1.16052557515203,-0.132779604362163,1.00104786091493,-2.02387326337762,2.53474897948746
"143","Q",81,0,0,0,0,0.971808912668147,2.58145162215163,0.3696,1.7818,18.1818181818182,380.327,51.995,0.17,0.452,0,0.773,0.635,0.26,32.048,0.348,1.518,5.322,0.365,5.898,2.211,0.485,3.73,0,13.139,0.313,5.981,0.129,0,0.672,0,0.252,0,0.269,0,0,0.287,NA,NA,NA,2.07553956834532,11.9086330935252,49.360918045,1.127515167,43.873397689227,2.84237712507257,-1.2685862612096,-1.9782695779247,-0.610892553080997,-1.62958541677149,1.48410069392664
"144","Z",86,19,0,0,0,1.71460591300667,2.45186298008005,0.2869,1.8188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.995640564,0.7646745206,64.1227205054078,NA,NA,NA,NA,NA,NA
"145","*",87,6,0,1,0,2.24771589083984,2.44842257365337,0.3788,1.8138,1.81818181818182,467.056,45.322,0.095,0.671,0,7.019,1.852,6.051,17.502,0,0.705,14.937,23.017,0,1.248,2.192,2.391,1.006,0,0.168,4.685,0.697,0.345,0.953,1.45,0.251,0,1.122,0,0,0,NA,NA,NA,1.93388429752066,11.6592286501377,48.780740358,0.9150824786,53.3981372541112,3.30467793522168,2.49564915106064,0.585510097445346,3.26195973035757,-0.915487313430008,-1.60184226987832
"146","Y",90,10,0,0,0,2.56969875127469,2.50576268076469,0.5211,1.842,48.1818181818182,257.055,58.375,0.335,2.441,0.278,8.717,6.012,1.82,23.276,0,1.096,114.978,73.647,0.765,0.812,1.057,1.853,3.62,2.11,0.355,5.41,0.549,0.424,0.784,0.798,0.356,2.339,29.207,0,1.866,4.345,NA,NA,NA,1.79008746355685,8.47930029154519,49.428104402,1.0590504764,46.8915922931631,-1.01390999397523,5.16138970365478,-0.556419391073982,2.69747626364312,-0.969993454169575,-0.575489778062682
